0
A IDH
"A IDH, HG"
ANA PA
"ATRT, MYC"
"ATRT, SHH"
"ATRT, TYR"
CHGL
CHORDM
CN
"CNS NB, FOXR2"
"CONTR, ADENOPIT"
"CONTR, CEBM"
"CONTR, HEMI"
"CONTR, HYPTHAL"
"CONTR, INFLAM"
"CONTR, PINEAL"
"CONTR, PONS"
"CONTR, REACT"
"CONTR, WM"
"CPH, ADM"
"CPH, PAP"
DLGNT
"DMG, K27"
"EFT, CIC"
"ENB, A"
"ENB, B"
"EPN, MPE"
"EPN, PF A"
"EPN, PF B"
"EPN, RELA"
"EPN, SPINE"
"EPN, YAP"
ETMR
EWS
"GBM, G34"
"GBM, MES"
"GBM, MID"
"GBM, MYCN"
"GBM, RTK I"
"GBM, RTK II"
"GBM, RTK III"
"HGNET, BCOR"
"HGNET, MN1"
HMB
IHG
"LGG, DIG/DIA"
"LGG, DNT"
"LGG, GG"
"LGG, MYB"
"LGG, PA MID"
"LGG, PA PF"
"LGG, PA/GG ST"
"LGG, RGNT"
"LGG, SEGA"
LIPN
LYMPHO
"MB, G3"
"MB, G4"
"MB, SHH CHL AD"
"MB, SHH INF"
"MB, WNT"
MELAN
MELCYT
MNG
O IDH
"PGG, nC"
"PIN T,  PB A"
"PIN T,  PB B"
"PIN T, PPT"
"PITAD, ACTH"
"PITAD, FSH LH"
"PITAD, PRL"
"PITAD, STH DNS A"
"PITAD, STH DNS B"
"PITAD, STH SPA"
"PITAD, TSH"
PITUI
PLASMA
"PLEX, AD"
"PLEX, PED A"
"PLEX, PED B"
"PTPR, A"
"PTPR, B"
PXA
RETB
SCHW
"SCHW, MEL"
SFT HMPC
"SUBEPN, PF"
"SUBEPN, SPINE"
"SUBEPN, ST"
